timestamp,event,label,confidence,action,message
2026-05-27 20:58:36.228381,face_register,t,,REGISTER,Saved sample 1779890316227.jpg
2026-05-27 20:58:36.287409,face_retrain,t,,TRAIN,Trained FaceAI with 1 sample(s)
2026-05-27 20:58:36.393859,face_retrain,t,,TRAIN,Trained FaceAI with 1 sample(s)
2026-05-27 20:58:51.520106,face_insufficient_samples,t,0.0,DENY,"Chưa đủ mẫu cho t: 1/3, không mở cửa"
2026-05-27 20:59:01.808993,face_recognition_failed,,,DENY,Không phát hiện khuôn mặt trong ảnh
2026-05-27 20:59:11.204137,face_insufficient_samples,t,0.0,DENY,"Chưa đủ mẫu cho t: 1/3, không mở cửa"
2026-05-27 21:00:06.382271,face_delete,t,,DELETE,Deleted 1 sample(s); removed empty model
2026-05-27 21:00:21.277650,face_register,t,,REGISTER,Saved sample 1779890421277.jpg
2026-05-27 21:00:21.328826,face_retrain,t,,TRAIN,Trained FaceAI with 1 sample(s)
2026-05-27 21:00:21.451824,face_retrain,t,,TRAIN,Trained FaceAI with 1 sample(s)
2026-05-27 21:00:30.551372,face_recognition_failed,,,DENY,Khuôn mặt chưa nằm đủ trong khung
2026-05-27 21:00:41.200768,face_insufficient_samples,t,0.0,DENY,"Chưa đủ mẫu cho t: 1/3, không mở cửa"
2026-05-27 21:03:15.586337,face_delete,t,,DELETE,Deleted 1 sample(s); removed empty model
2026-05-27 21:04:47.972241,face_register,thien,,REGISTER,Saved sample 1779890687971.jpg
2026-05-27 21:04:48.023106,face_retrain,thien,,TRAIN,Trained FaceAI with 1 sample(s)
2026-05-27 21:04:48.122907,face_retrain,thien,,TRAIN,Trained FaceAI with 1 sample(s)
2026-05-27 21:05:00.848855,face_insufficient_samples,thien,0.0,DENY,"Chưa đủ mẫu cho thien: 1/3, không mở cửa"
2026-05-27 21:05:11.445417,face_insufficient_samples,thien,0.0,DENY,"Chưa đủ mẫu cho thien: 1/3, không mở cửa"
2026-05-27 21:07:35.486373,face_register,obama_test,,REGISTER,Saved sample 1779890855485.jpg
2026-05-27 21:07:35.513644,face_retrain,obama_test,,TRAIN,Trained FaceAI with 1 sample(s)
2026-05-27 21:07:37.620490,face_register,obama_test,,REGISTER,Saved sample 1779890857619.jpg
2026-05-27 21:07:37.673288,face_retrain,obama_test,,TRAIN,Trained FaceAI with 2 sample(s)
2026-05-27 21:07:39.786995,face_register,obama_test,,REGISTER,Saved sample 1779890859786.jpg
2026-05-27 21:07:39.866890,face_retrain,obama_test,,TRAIN,Trained FaceAI with 3 sample(s)
2026-05-27 21:07:42.039334,face_retrain,obama_test,,TRAIN,Trained FaceAI with 3 sample(s)
2026-05-27 21:07:44.175753,face_recognized,obama_test,1.0,ALLOW,Recognized obama_test
2026-05-27 21:07:46.315733,face_low_confidence,obama_test,0.0,DENY,"Độ tin cậy thấp, không mở cửa; distance=0.6399; max=0.1800; sample_distance=0.6399; sample_max=0.5000"
2026-05-27 21:08:04.259802,face_recognized,obama_test,1.0,ALLOW,Recognized obama_test
2026-05-27 21:08:06.400017,face_low_confidence,obama_test,0.0,DENY,"Độ tin cậy thấp, không mở cửa; distance=0.6399; max=0.1800; sample_distance=0.6399; sample_max=0.5000"
2026-05-27 21:15:00.845828,face_delete,thien,,DELETE,Deleted 1 sample(s); removed empty model
